"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"1","I192078622","Larceny",42.34006986,-71.0527942,"South Boston","2019"
"2","I192078594","Larceny",42.34439568,-71.08632016,"South End","2019"
"3","I192078543","Larceny",42.31929343,-71.11178236,"Jamaica Plain","2019"
"4","I192078536","Larceny",42.29126463,-71.06811401,"Dorchester","2019"
"5","I192078534","Larceny",42.29526287,-71.07207439,"Dorchester","2019"
"6","I192078533","Larceny",42.3479724,-71.07849582,"South End","2019"
"7","I192078512","Larceny",42.34989652,-71.1314345,"Brighton","2019"
"8","I192078506","Larceny",42.29057504,-71.07165726,"Dorchester","2019"
"9","I192078501","Larceny",42.33054986,-71.04060752,"South Boston","2019"
"10","I192078484","Larceny",42.33380683,-71.10377843,"Roxbury","2019"
"11","I192078482","Larceny",42.34496729,-71.06382224,"South End","2019"
"12","I192078454","Larceny",42.28898462,-71.15224773,"West Roxbury","2019"
"13","I192078439","Larceny",42.34862382,-71.08277637,"South End","2019"
"14","I192078435","Larceny",42.34980175,-71.07840978,"South End","2019"
"15","I192078429","Larceny",42.34840576,-71.08688339,"South End","2019"
"16","I192078427","Larceny",42.34496729,-71.06382224,"South End","2019"
"17","I192078424","Larceny",42.28863812,-71.06631579,"Dorchester","2019"
"18","I192078396","Larceny",42.3166175,-71.06407827,"Roxbury","2019"
"19","I192078390","Larceny",42.34876087,-71.06408261,"Downtown","2019"
"20","I192078381","Larceny",42.37439512,-71.0580376,"Charlestown","2019"
"21","I192078379","Larceny",42.32553801,-71.06579592,"South Boston","2019"
"22","I192078374","Larceny",42.2518944,-71.1253531,"Hyde Park","2019"
"23","I192078371","Larceny",42.3031399,-71.11735145,"Jamaica Plain","2019"
"24","I192078357","Larceny",42.35892279,-71.05835354,"Downtown","2019"
"25","I192078327","Larceny",42.36643546,-71.06135413,"Downtown","2019"
"26","I192078252","Larceny",42.25867638,-71.15116479,"West Roxbury","2019"
"27","I192078248","Larceny",42.30986184,-71.11888379,"Jamaica Plain","2019"
"28","I192078240","Larceny",42.34862382,-71.08277637,"South End","2019"
"29","I192078227","Larceny",42.35361371,-71.12967302,"Brighton","2019"
"30","I192078224","Larceny",42.36020464,-71.05620816,"Downtown","2019"
"31","I192078184","Larceny",42.30327205,-71.11567453,"Jamaica Plain","2019"
"32","I192078178","Larceny",42.32008642,-71.04121517,"South Boston","2019"
"33","I192078146","Larceny",42.3593314,-71.06549247,"Downtown","2019"
"34","I192078136","Larceny",42.3751514,-71.0639642,"Charlestown","2019"
"35","I192078135","Larceny",42.32617421,-71.08118336,"Roxbury","2019"
"36","I192078122","Larceny",42.34862382,-71.08277637,"South End","2019"
"37","I192078119","Larceny",42.31191224,-71.11246235,"Jamaica Plain","2019"
"38","I192078088","Larceny",42.34568199,-71.08231884,"South End","2019"
"39","I192078076","Larceny",42.28948778,-71.07799371,"Mattapan","2019"
"40","I192078073","Larceny",42.33153805,-71.08015661,"Roxbury","2019"
"41","I192078065","Larceny",42.35199741,-71.16768308,"Brighton","2019"
"42","I192078059","Larceny",42.35095909,-71.0741278,"South End","2019"
"43","I192078022","Larceny",42.29634574,-71.08181681,"Mattapan","2019"
"44","I192078015","Larceny",42.33930416,-71.05160423,"South Boston","2019"
"45","I192078013","Larceny",42.33677663,-71.07464452,"South End","2019"
"46","I192077982","Larceny",42.3303353,-71.05760678,"South Boston","2019"
"47","I192077945","Larceny",42.3642384,-71.06165515,"Downtown","2019"
"48","I192077940","Larceny",42.3348311,-71.07904134,"South End","2019"
"49","I192077924","Larceny",42.33285585,-71.07262418,"South End","2019"
"50","I192077907","Larceny",42.34295335,-71.08833139,"South End","2019"
"51","I192077901","Larceny",42.36002828,-71.06776812,"Downtown","2019"
"52","I192077879","Larceny",42.34813158,-71.08027002,"South End","2019"
"53","I192077861","Larceny",42.3078214,-71.08354076,"Roxbury","2019"
"54","I192077851","Larceny",42.34862382,-71.08277637,"South End","2019"
"55","I192077809","Larceny",42.32987323,-71.09590774,"Roxbury","2019"
"56","I192077788","Larceny",42.29919694,-71.06046974,"Dorchester","2019"
"57","I192077772","Larceny",42.31332153,-71.07591511,"Roxbury","2019"
"58","I192077771","Larceny",42.34840576,-71.08688339,"South End","2019"
"59","I192077739","Larceny",42.34439568,-71.08632016,"South End","2019"
"60","I192077736","Larceny",42.32692112,-71.05841861,"South Boston","2019"
"61","I192077724","Larceny",42.30132884,-71.10963274,"Jamaica Plain","2019"
"62","I192077722","Larceny",42.33094752,-71.08285104,"Roxbury","2019"
"63","I192077707","Larceny",42.35272948,-71.06256291,"Downtown","2019"
"64","I192077703","Larceny",42.34442266,-71.09833083,"South End","2019"
"65","I192077676","Larceny",42.3226603,-71.10550489,"Jamaica Plain","2019"
"66","I192077659","Larceny",42.32952036,-71.08530641,"Roxbury","2019"
"67","I192077655","Larceny",42.34828759,-71.07891773,"South End","2019"
"68","I192077649","Larceny",42.34334672,-71.06643142,"South End","2019"
"69","I192077628","Larceny",42.33738014,-71.08388901,"South End","2019"
"70","I192077612","Larceny",42.32066147,-71.07067867,"Roxbury","2019"
"71","I192077568","Larceny",42.31781953,-71.06603518,"Roxbury","2019"
"72","I192077567","Larceny",42.36658726,-71.06019881,"Downtown","2019"
"73","I192077560","Larceny",42.33318299,-71.08307607,"Roxbury","2019"
"74","I192077551","Larceny",42.3268502,-71.08213196,"Roxbury","2019"
"75","I192077544","Larceny",42.35540738,-71.06312433,"Downtown","2019"
"76","I192077530","Larceny",42.34496729,-71.06382224,"South End","2019"
"77","I192077522","Larceny",42.33044113,-71.08373481,"Roxbury","2019"
"78","I192077521","Larceny",42.24361883,-71.11989255,"Hyde Park","2019"
"79","I192077504","Larceny",42.29548607,-71.05227549,"Dorchester","2019"
"80","I192077500","Larceny",42.36020464,-71.05620816,"Downtown","2019"
"81","I192077497","Larceny",42.34044966,-71.08845935,"South End","2019"
"82","I192077494","Larceny",42.34543327,-71.07739498,"South End","2019"
"83","I192077491","Larceny",42.35160842,-71.1460258,"Brighton","2019"
"84","I192077489","Larceny",42.3503787,-71.07626098,"South End","2019"
"85","I192077486","Larceny",42.27076625,-71.10750829,"Hyde Park","2019"
"86","I192077477","Larceny",42.28671034,-71.10822888,"Hyde Park","2019"
"87","I192077475","Larceny",42.34666123,-71.10310722,"South End","2019"
"88","I192077456","Larceny",42.27130225,-71.07442362,"Mattapan","2019"
"89","I192077450","Larceny",42.33153805,-71.08015661,"Roxbury","2019"
"90","I192077446","Larceny",42.35329808,-71.13504948,"Brighton","2019"
"91","I192077441","Larceny",42.31116054,-71.07548091,"Roxbury","2019"
"92","I192077421","Larceny",42.33903506,-71.07504384,"South End","2019"
"93","I192077418","Larceny",42.32082017,-71.06010572,"South Boston","2019"
"94","I192077417","Larceny",42.3425571,-71.067378,"South End","2019"
"95","I192077415","Larceny",42.35942556,-71.05288819,"Downtown","2019"
"96","I192077406","Larceny",42.35272948,-71.06256291,"Downtown","2019"
"97","I192077394","Larceny",42.35196451,-71.04611291,"South Boston","2019"
"98","I192077387","Larceny",42.34666123,-71.10310722,"South End","2019"
"99","I192077385","Larceny",42.35272948,-71.06256291,"Downtown","2019"
"100","I192077376","Larceny",42.35241815,-71.06525499,"Downtown","2019"
"101","I192077372","Larceny",42.31283412,-71.08974712,"Roxbury","2019"
"102","I192077353","Larceny",42.34412622,-71.09760878,"South End","2019"
"103","I192077350","Larceny",42.30422176,-71.07918459,"Dorchester","2019"
"104","I192077349","Larceny",42.35285118,-71.06096412,"Downtown","2019"
"105","I192077332","Larceny",42.26922388,-71.12085347,"Hyde Park","2018"
"106","I192077324","Larceny",42.32809966,-71.06321676,"South Boston","2019"
"107","I192077254","Larceny",42.381806,-71.02045886,"East Boston","2019"
"108","I192077254","Larceny",42.381806,-71.02045886,"East Boston","2019"
"109","I192077200","Larceny",42.31363297,-71.0891036,"Roxbury","2019"
"110","I192077187","Larceny",42.35126907,-71.15215623,"Brighton","2019"
"111","I192077177","Larceny",42.27968299,-71.09286048,"Mattapan","2019"
"112","I192077176","Larceny",42.34522836,-71.08537838,"South End","2019"
"113","I192077152","Larceny",42.34496729,-71.06382224,"South End","2019"
"114","I192077150","Larceny",42.35216801,-71.12457096,"Brighton","2019"
"115","I192077147","Larceny",42.33034412,-71.05695721,"South Boston","2019"
