"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"1","I192078642","Motor Vehicle Accident Response",42.33241896,-71.07501315,"South End","2019"
"2","I192078633","Motor Vehicle Accident Response",42.28757867,-71.0752731,"Mattapan","2019"
"3","I192078623","Motor Vehicle Accident Response",42.28606484,-71.07001038,"Dorchester","2019"
"4","I192078615","Motor Vehicle Accident Response",42.38258915,-71.03341969,"East Boston","2019"
"5","I192078589","Motor Vehicle Accident Response",42.33976143,-71.0570922,"South Boston","2019"
"6","I192078586","Motor Vehicle Accident Response",42.26483674,-71.09966819,"Hyde Park","2019"
"7","I192078583","Motor Vehicle Accident Response",42.27080089,-71.10581184,"Hyde Park","2019"
"8","I192078582","Motor Vehicle Accident Response",42.32561013,-71.10449956,"Jamaica Plain","2019"
"9","I192078561","Motor Vehicle Accident Response",42.36312194,-71.13056327,"Brighton","2019"
"10","I192078546","Motor Vehicle Accident Response",42.30269797,-71.0660148,"Dorchester","2019"
"11","I192078527","Motor Vehicle Accident Response",42.3049039,-71.07414043,"Dorchester","2019"
"12","I192078526","Motor Vehicle Accident Response",42.35057,-71.167812,"Brighton","2019"
"13","I192078510","Motor Vehicle Accident Response",42.34840576,-71.08688339,"South End","2019"
"14","I192078507","Motor Vehicle Accident Response",42.33571838,-71.03025592,"South Boston","2019"
"15","I192078505","Motor Vehicle Accident Response",42.33402461,-71.09039049,"Roxbury","2019"
"16","I192078498","Motor Vehicle Accident Response",42.26519721,-71.12686391,"Hyde Park","2019"
"17","I192078474","Motor Vehicle Accident Response",42.36406524,-71.06333709,"Downtown","2019"
"18","I192078449","Motor Vehicle Accident Response",42.3712953,-71.04342377,"East Boston","2019"
"19","I192078447","Motor Vehicle Accident Response",42.30514171,-71.05898128,"Dorchester","2019"
"20","I192078438","Motor Vehicle Accident Response",42.28067898,-71.15817457,"West Roxbury","2019"
"21","I192078436","Motor Vehicle Accident Response",42.38120826,-71.06914345,"Charlestown","2019"
"22","I192078419","Motor Vehicle Accident Response",42.34647478,-71.0515056,"South Boston","2019"
"23","I192078416","Motor Vehicle Accident Response",42.31162834,-71.08094294,"Roxbury","2019"
"24","I192078413","Motor Vehicle Accident Response",42.2836283,-71.09349553,"Mattapan","2019"
"25","I192078406","Motor Vehicle Accident Response",42.28802461,-71.14369706,"West Roxbury","2019"
"26","I192078394","Motor Vehicle Accident Response",42.30267265,-71.0701954,"Dorchester","2019"
"27","I192078351","Motor Vehicle Accident Response",42.26430493,-71.10061293,"Hyde Park","2019"
"28","I192078339","Motor Vehicle Accident Response",42.31709355,-71.07802977,"Roxbury","2019"
"29","I192078334","Motor Vehicle Accident Response",42.35400881,-71.05285324,"Downtown","2019"
"30","I192078331","Motor Vehicle Accident Response",42.3072423,-71.08551704,"Roxbury","2019"
"31","I192078328","Motor Vehicle Accident Response",42.28633184,-71.08642318,"Mattapan","2019"
"32","I192078321","Motor Vehicle Accident Response",42.27413021,-71.11674617,"Hyde Park","2019"
"33","I192078311","Motor Vehicle Accident Response",42.30344073,-71.06674608,"Dorchester","2019"
"34","I192078303","Motor Vehicle Accident Response",42.31494986,-71.10599486,"Jamaica Plain","2019"
"35","I192078290","Motor Vehicle Accident Response",42.33209622,-71.09860557,"Roxbury","2019"
"36","I192078262","Motor Vehicle Accident Response",42.31839897,-71.07530497,"Roxbury","2019"
"37","I192078238","Motor Vehicle Accident Response",42.34751259,-71.13689285,"Brighton","2019"
"38","I192078219","Motor Vehicle Accident Response",42.33569966,-71.03128458,"South Boston","2019"
"39","I192078217","Motor Vehicle Accident Response",42.32309351,-71.10966113,"Jamaica Plain","2019"
"40","I192078169","Motor Vehicle Accident Response",42.38391569,-71.02266216,"East Boston","2019"
"41","I192078163","Motor Vehicle Accident Response",42.32696647,-71.06198607,"South Boston","2019"
"42","I192078162","Motor Vehicle Accident Response",42.37897108,-71.05934288,"Charlestown","2019"
"43","I192078140","Motor Vehicle Accident Response",42.34968607,-71.08217945,"South End","2019"
"44","I192078128","Motor Vehicle Accident Response",42.275316,-71.11081942,"Hyde Park","2019"
"45","I192078126","Motor Vehicle Accident Response",42.33729158,-71.03746623,"South Boston","2019"
"46","I192078117","Motor Vehicle Accident Response",42.37868909,-71.0534645,"Charlestown","2019"
"47","I192078116","Motor Vehicle Accident Response",42.30357612,-71.06880797,"Dorchester","2019"
"48","I192078097","Motor Vehicle Accident Response",42.35342608,-71.13508383,"Brighton","2019"
"49","I192078094","Motor Vehicle Accident Response",42.32153248,-71.07738533,"Roxbury","2019"
"50","I192078091","Motor Vehicle Accident Response",42.31915678,-71.10067583,"Jamaica Plain","2019"
"51","I192078082","Motor Vehicle Accident Response",42.33841268,-71.07427827,"South End","2019"
"52","I192078066","Motor Vehicle Accident Response",42.31478432,-71.07160997,"Roxbury","2019"
"53","I192078053","Motor Vehicle Accident Response",42.37736141,-71.06645921,"Charlestown","2019"
"54","I192078052","Motor Vehicle Accident Response",42.38258251,-71.04029571,"East Boston","2019"
"55","I192078030","Motor Vehicle Accident Response",42.29821908,-71.05704798,"Dorchester","2019"
"56","I192078020","Motor Vehicle Accident Response",42.31248272,-71.10156281,"Jamaica Plain","2019"
"57","I192077988","Motor Vehicle Accident Response",42.30340659,-71.05343921,"Dorchester","2019"
"58","I192077983","Motor Vehicle Accident Response",42.29588248,-71.0549331,"Dorchester","2019"
"59","I192077978","Motor Vehicle Accident Response",42.33364401,-71.09086302,"Roxbury","2019"
"60","I192077976","Motor Vehicle Accident Response",42.31283412,-71.08974712,"Roxbury","2019"
"61","I192077943","Motor Vehicle Accident Response",42.33152148,-71.07085307,"South Boston","2019"
"62","I192077923","Motor Vehicle Accident Response",42.34594311,-71.06128608,"South End","2019"
"63","I192077906","Motor Vehicle Accident Response",42.31495383,-71.11410163,"Jamaica Plain","2019"
"64","I192077880","Motor Vehicle Accident Response",42.33916952,-71.10358341,"Roxbury","2019"
"65","I192077860","Motor Vehicle Accident Response",42.23749789,-71.13195434,"Hyde Park","2019"
"66","I192077858","Motor Vehicle Accident Response",42.3113948,-71.07384945,"Roxbury","2019"
"67","I192077857","Motor Vehicle Accident Response",42.34266946,-71.14098779,"Brighton","2019"
"68","I192077854","Motor Vehicle Accident Response",42.34949114,-71.1520517,"Brighton","2019"
"69","I192077853","Motor Vehicle Accident Response",42.34488579,-71.10097822,"South End","2019"
"70","I192077819","Motor Vehicle Accident Response",42.29574315,-71.07114039,"Dorchester","2019"
"71","I192077818","Motor Vehicle Accident Response",42.37620267,-71.03979926,"East Boston","2019"
"72","I192077805","Motor Vehicle Accident Response",42.28828038,-71.07652688,"Mattapan","2019"
"73","I192077790","Motor Vehicle Accident Response",42.34021611,-71.10956117,"Roxbury","2019"
"74","I192077775","Motor Vehicle Accident Response",42.35366271,-71.05356113,"Downtown","2019"
"75","I192077768","Motor Vehicle Accident Response",42.3569303,-71.06005008,"Downtown","2019"
"76","I192077765","Motor Vehicle Accident Response",42.3322228,-71.07167184,"South Boston","2019"
"77","I192077764","Motor Vehicle Accident Response",42.28888647,-71.04944044,"Dorchester","2019"
"78","I192077761","Motor Vehicle Accident Response",42.31323896,-71.06822206,"Dorchester","2019"
"79","I192077753","Motor Vehicle Accident Response",42.32665471,-71.10679596,"Jamaica Plain","2019"
"80","I192077751","Motor Vehicle Accident Response",42.35415745,-71.05412606,"Downtown","2019"
"81","I192077748","Motor Vehicle Accident Response",42.28180103,-71.13311579,"West Roxbury","2019"
"82","I192077732","Motor Vehicle Accident Response",42.31688606,-71.0900119,"Roxbury","2019"
"83","I192077727","Motor Vehicle Accident Response",42.29338993,-71.07155745,"Dorchester","2019"
"84","I192077698","Motor Vehicle Accident Response",42.26496475,-71.12123167,"Hyde Park","2019"
"85","I192077694","Motor Vehicle Accident Response",42.27796367,-71.17191294,"West Roxbury","2019"
"86","I192077683","Motor Vehicle Accident Response",42.36139413,-71.0576869,"Downtown","2019"
"87","I192077677","Motor Vehicle Accident Response",42.2796959,-71.11832827,"Hyde Park","2019"
"88","I192077675","Motor Vehicle Accident Response",42.37789565,-71.05840764,"Charlestown","2019"
"89","I192077671","Motor Vehicle Accident Response",42.28750526,-71.09212143,"Mattapan","2019"
"90","I192077667","Motor Vehicle Accident Response",42.3535833,-71.13015312,"Brighton","2019"
"91","I192077656","Motor Vehicle Accident Response",42.37983547,-71.06539737,"Charlestown","2019"
"92","I192077624","Motor Vehicle Accident Response",42.37836895,-71.05871896,"Charlestown","2019"
"93","I192077579","Motor Vehicle Accident Response",42.35174166,-71.13847468,"Brighton","2019"
"94","I192077538","Motor Vehicle Accident Response",42.356673,-71.050769,"Downtown","2019"
