"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"1","I192078613","Simple Assault",42.3791237,-71.0280821,"East Boston","2019"
"2","I192078608","Simple Assault",42.27868789,-71.1173443,"Hyde Park","2019"
"3","I192078603","Simple Assault",42.37546983,-71.03730221,"East Boston","2019"
"4","I192078581","Simple Assault",42.31495383,-71.11410163,"Jamaica Plain","2019"
"5","I192078573","Simple Assault",42.31860134,-71.08405792,"Roxbury","2019"
"6","I192078563","Simple Assault",42.29276044,-71.07486603,"Mattapan","2019"
"7","I192078538","Simple Assault",42.35196451,-71.04611291,"South Boston","2019"
"8","I192078531","Simple Assault",42.30626521,-71.06864556,"Dorchester","2019"
"9","I192078502","Simple Assault",42.35540738,-71.06312433,"Downtown","2019"
"10","I192078491","Simple Assault",42.34295139,-71.0831454,"South End","2019"
"11","I192078482","Simple Assault",42.34496729,-71.06382224,"South End","2019"
"12","I192078455","Simple Assault",42.34235207,-71.06280467,"South End","2019"
"13","I192078426","Simple Assault",42.29106908,-71.05234007,"Dorchester","2019"
"14","I192078421","Simple Assault",42.33794745,-71.05310513,"South Boston","2019"
"15","I192078418","Simple Assault",42.31688606,-71.0900119,"Roxbury","2019"
"16","I192078405","Simple Assault",42.28746925,-71.07121584,"Dorchester","2019"
"17","I192078401","Simple Assault",42.30734156,-71.1054409,"Jamaica Plain","2019"
"18","I192078354","Simple Assault",42.33041863,-71.0825013,"Roxbury","2019"
"19","I192078333","Simple Assault",42.36240281,-71.06954652,"Downtown","2019"
"20","I192078297","Simple Assault",42.27855984,-71.09199697,"Mattapan","2019"
"21","I192078291","Simple Assault",42.29106908,-71.05234007,"Dorchester","2019"
"22","I192078270","Simple Assault",42.32271736,-71.10488628,"Jamaica Plain","2019"
"23","I192078263","Simple Assault",42.36192792,-71.07081974,"Downtown","2019"
"24","I192078259","Simple Assault",42.37029336,-71.03925861,"East Boston","2019"
"25","I192078245","Simple Assault",42.36981561,-71.04187678,"East Boston","2019"
"26","I192078241","Simple Assault",42.33731438,-71.04852327,"South Boston","2019"
"27","I192078231","Simple Assault",42.28431486,-71.07410838,"Mattapan","2019"
"28","I192078220","Simple Assault",42.28026694,-71.1572987,"West Roxbury","2019"
"29","I192078187","Simple Assault",42.34997256,-71.06348817,"Downtown","2019"
"30","I192078167","Simple Assault",42.31528744,-71.08015967,"Roxbury","2019"
"31","I192078131","Simple Assault",42.31779354,-71.04210959,"South Boston","2019"
"32","I192078130","Simple Assault",42.31779354,-71.04210959,"South Boston","2019"
"33","I192078129","Simple Assault",42.31779354,-71.04210959,"South Boston","2019"
"34","I192078023","Simple Assault",42.29360585,-71.0718865,"Dorchester","2019"
"35","I192077938","Simple Assault",42.3477848,-71.03618949,"South Boston","2019"
"36","I192077938","Simple Assault",42.3477848,-71.03618949,"South Boston","2019"
"37","I192077882","Simple Assault",42.28001818,-71.07837049,"Mattapan","2019"
"38","I192077873","Simple Assault",42.33781374,-71.10659848,"Roxbury","2019"
"39","I192077871","Simple Assault",42.32971683,-71.05696834,"South Boston","2019"
"40","I192077849","Simple Assault",42.2777688,-71.09334841,"Mattapan","2019"
"41","I192077848","Simple Assault",42.37056285,-71.06077324,"Charlestown","2019"
"42","I192077841","Simple Assault",42.29276044,-71.07486603,"Mattapan","2019"
"43","I192077840","Simple Assault",42.35997967,-71.05474135,"Downtown","2019"
"44","I192077839","Simple Assault",42.37842947,-71.02778665,"East Boston","2019"
"45","I192077836","Simple Assault",42.33076942,-71.07766482,"Roxbury","2019"
"46","I192077828","Simple Assault",42.37842947,-71.02778665,"East Boston","2019"
"47","I192077804","Simple Assault",42.3337825,-71.10934344,"Roxbury","2019"
"48","I192077782","Simple Assault",42.33418306,-71.0442171,"South Boston","2019"
"49","I192077757","Simple Assault",42.32925905,-71.08482402,"Roxbury","2019"
"50","I192077709","Simple Assault",42.27153948,-71.07929619,"Mattapan","2019"
"51","I192077673","Simple Assault",42.34453911,-71.0735877,"South End","2019"
"52","I192077619","Simple Assault",42.36058947,-71.0651034,"Downtown","2019"
"53","I192077607","Simple Assault",42.33164159,-71.10760789,"Roxbury","2019"
"54","I192077604","Simple Assault",42.32469443,-71.10087902,"Jamaica Plain","2019"
"55","I192077596","Simple Assault",42.28009279,-71.0800541,"Mattapan","2019"
"56","I192077557","Simple Assault",42.2740918,-71.13951459,"West Roxbury","2019"
"57","I192077552","Simple Assault",42.35826604,-71.13520407,"Brighton","2019"
"58","I192077536","Simple Assault",42.37750817,-71.03805944,"East Boston","2019"
"59","I192077534","Simple Assault",42.30859903,-71.10539197,"Jamaica Plain","2019"
"60","I192077526","Simple Assault",42.35594239,-71.06258333,"Downtown","2019"
"61","I192077525","Simple Assault",42.25475584,-71.14143386,"Hyde Park","2019"
"62","I192077510","Simple Assault",42.28933096,-71.08351742,"Mattapan","2019"
"63","I192077474","Simple Assault",42.28405588,-71.09045322,"Mattapan","2019"
"64","I192077472","Simple Assault",42.3626075,-71.06132725,"Downtown","2019"
"65","I192077436","Simple Assault",42.35972137,-71.0585236,"Downtown","2019"
"66","I192077413","Simple Assault",42.3268502,-71.08213196,"Roxbury","2019"
"67","I192077402","Simple Assault",42.34866017,-71.16801858,"Brighton","2019"
"68","I192077306","Simple Assault",42.25332979,-71.12467152,"Hyde Park","2019"
"69","I192077281","Simple Assault",42.31200743,-71.0665094,"Dorchester","2019"
"70","I192077265","Simple Assault",42.34334672,-71.06643142,"South End","2019"
"71","I192077233","Simple Assault",42.35988372,-71.06016189,"Downtown","2019"
"72","I192077226","Simple Assault",42.33511904,-71.0749171,"South End","2019"
"73","I192077191","Simple Assault",42.31283412,-71.08974712,"Roxbury","2019"
"74","I192077164","Simple Assault",42.30391522,-71.08510251,"Roxbury","2019"
"75","I192077042","Simple Assault",42.28880116,-71.08876805,"Mattapan","2019"
"76","I192077040","Simple Assault",42.35428377,-71.06380404,"Downtown","2019"
"77","I192077029","Simple Assault",42.32552765,-71.05984052,"South Boston","2019"
"78","I192076978","Simple Assault",42.2991807,-71.06429139,"Dorchester","2019"
"79","I192076973","Simple Assault",42.34266946,-71.14098779,"Brighton","2019"
"80","I192076944","Simple Assault",42.29072875,-71.12183517,"West Roxbury","2019"
"81","I192076942","Simple Assault",42.35972137,-71.0585236,"Downtown","2019"
"82","I192076939","Simple Assault",42.35106637,-71.06549569,"Downtown","2019"
"83","I192076896","Simple Assault",42.35988372,-71.06016189,"Downtown","2019"
"84","I192076894","Simple Assault",42.35548407,-71.13741814,"Brighton","2019"
"85","I192076891","Simple Assault",42.37784791,-71.05930433,"Charlestown","2019"
"86","I192076874","Simple Assault",42.35315862,-71.13289373,"Brighton","2019"
"87","I192076861","Simple Assault",42.34988575,-71.14522971,"Brighton","2019"
"88","I192076849","Simple Assault",42.33755715,-71.07836018,"South End","2019"
"89","I192076767","Simple Assault",42.30591851,-71.07956586,"Roxbury","2019"
"90","I192076754","Simple Assault",42.37111589,-71.04177412,"East Boston","2019"
"91","I192076738","Simple Assault",42.25466263,-71.12430955,"Hyde Park","2019"
"92","I192076687","Simple Assault",42.29011783,-71.12187904,"West Roxbury","2019"
"93","I192076669","Simple Assault",42.37167554,-71.03563919,"East Boston","2019"
"94","I192076663","Simple Assault",42.35788876,-71.06010047,"Downtown","2019"
"95","I192076649","Simple Assault",42.33455374,-71.07560801,"South End","2019"
"96","I192076627","Simple Assault",42.31615184,-71.09795135,"Jamaica Plain","2019"
"97","I192076578","Simple Assault",42.29011783,-71.12187904,"West Roxbury","2019"
"98","I192076544","Simple Assault",42.34748342,-71.13363158,"Brighton","2019"
"99","I192076543","Simple Assault",42.33662706,-71.02769199,"South Boston","2019"
"100","I192076516","Simple Assault",42.35540738,-71.06312433,"Downtown","2019"
"101","I192076502","Simple Assault",42.33132994,-71.05293837,"South Boston","2019"
"102","I192076482","Simple Assault",42.32424831,-71.10525188,"Jamaica Plain","2019"
